"titelen","SDGs","lernergebnisseenUNDlerninhalteen"
"Deep Learning 1","4, 9","Understanding of the foundations of neural networks and deep learning, including optimization and regularization aspects. Understanding of the most popular deep neural network architectures used in practice (e.g. convolutional neural networks). Ability to implement a neural network using common deep learning frameworks. Foundations of neural networks, including the perceptron, multi-layer perceptrons, activation functions, loss functions, error backpropagation, and the questions of optimization and regularization. Common optimization techniques such as SGD, momentum, and RMSProp. Common regularization techniques such as weight decay, dropout, and Lipschitz constraints. Presentation of popular architectures, such as the convolutional neural network, autoencoders, and recurrent neural networks. Introduction to the PyTorch deep learning framework."
"Deep Learning 2","4, 9","Understanding of advanced techniques of deep learning, including the application of mathematical concepts such as differential equations, group theory and fix-point iteration in neural networks. Understanding of advanced deep neural network architectures used in practice (e.g. GANs, Transformer, normalizing flows, equivariant neural networks). Ability to implement advanced neural networks using common deep learning frameworks. Advanced techniques such as self-attention, equivariant convolutions, deep equilibrium networks, generative adversarial networks, neural differential equations and normalizing flows. Application of machine learning techniques such as self-supervised / autoregressive learning, density estimation, anomaly detection and reinforcement learning in neural networks. Approaches to accelerate and deploy neural network, such as distillation, quantization, and factorization."
"AMOS seminar: Scrum Master","4, 8, 9","The goal of agile software development is to make the software development process more flexible and streamlined by, for example, giving priority to the team members' approach to software development and their interaction over processes and tools. This project teaches skills that are necessary and helpful for filling the role of a Scrum Master.  In particular:  - Students learn how to coach distributed agile software development teams - Students learn to play the Scrum master role in an agile team This course teaches students how to coach agile software development teams. The course combines theory (short lectures and class discussion) with practice (students will play the Scrum master role in an AMOS project). Some topics covered are: - Agile mindset - Running retrospectives - How to run a workshop - Listening, giving feedback - Leading change - Conflict resolution For participation, you must have successfully completed a prior AMOS project, either as a product owner or software developer. Class runs as two 90-min blocks, which are one for short lectures and class discussion and one for the exercise, where the student is playing a Scrum master role. More information is available at https://coach.uni1.de."
"Analysis of (Online) Social Data: methodological challenges, social consequences, and limitations","4, 9, 16","Students who have successfully completed this course are aware of essential methodological challenges, social consequences and ethical boundaries of the analysis and use of (online) social data and can describe them. In addition, they can describe, compare and evaluate exemplary techniques for dealing with these challenges, consequences and limits as well as for avoiding pitfalls and errors. They take a critical stance on decisions and judgments, both those they find in the literature and their own.  They know relevant codes of conduct for computer scientists and can relate and compare them. In addition, they can assess and justify to what extent and why they are bound by these rules.  Students can read, understand, present, and elaborate/discuss in writing current research literature on these topics with respect to their methodological challenges, societal implications, and ethical boundaries. They can read these works critically, i.e. recognize whether and how the authors position themselves with regard to the challenges, consequences and limits of the methods used. Computer scientists are increasingly working with social data"", often ""online social data"", i.e. data that comes from online sources, is collected online, etc.. They analyze this data, build tools and platforms based on their findings, and help shape the lives of many people and other ways of life. It is therefore important to avoid the mistakes and pitfalls of naïve data analysis and processing, which have become increasingly evident in recent years and are the subject of a large number of research papers, press reports, and discussions in social media itself.  Examples of such data include user-generated content, explicit or implicit relationships between people, and behavioral traces such as clickstreams. Researchers:and practitioners:hope to use this data to understand ""what the world thinks"" - about a social issue, a brand, a product, a:n politician:in, etc. They also hope to support decisions in areas such as politics, healthcare, economics, and applications of ""social good."" They also hope to gain decision support in areas such as politics, healthcare, business, and applications of the ""social good"".by analyzing this data. Examples of pitfalls include biases, gaps, and inaccuracies/errors that are already in the data or that arise from its processing. In addition, there are methodological limitations and pitfalls, e.g., in the ethical issues of data analysis, in the interpretation of results, and in unintended consequences.  In this module we consider - Typical challenges and pitfalls encountered at different stages of social data processing - Typical unintended consequences of using (incl. analyzing) social data - Key limitations of using (including analyzing) social data  - Methods to identify, understand, and measure (to the extent possible) these challenges, consequences, and limitations - What we can and must do as researchers and practitioners (individually and collectively) to meet our resulting social and political responsibilities. After an overview in the first part of the module (interactive lecture with homework), in the seminar part students will test their skills by analyzing a scientific publication for challenges, consequences and limitations, which will be presented in the form of a presentation and a written paper. The specific contents and publications of the module will be adapted to current developments and the interests of the participants"
"Current Topics in the Analysis of (Online) Social Data","4, 9, 16","Students have in-depth knowledge of current topics in the field of analysis of (online) social data. They are able to work out a new topic independently and to communicate it in a presentation and a written paper. In doing so, they are able to explain the methods used, as well as evaluate and critically question research results. Furthermore, they have a basic understanding of methods in the field of (online) social data, which enables them to select suitable methods for solving a problem. This seminar starts with an introduction to methods and their application in the field of (online) social media. The historical background, implementation and social consequences of the methods will be discussed. Subsequently, the students will deal with scientific publications on the topic of (online) social data, make a selection and present one of these publications in the form of a lecture. In doing so, they address the applied method and discuss to what extent it was suitable for the use case and where challenges and pitfalls arose. They also present what potential unintended consequences may arise. They also write an evaluative written paper on the selected publication.  The specific content and publications of the module are adapted to current developments and the interests of the participants; they can be found on the module's website. The seminar builds on the module Analysis of (Online) Social Data: methodological challenges, social consequences, and limitations"" and deepens the knowledge and skills acquired there."""
"Current Topics in Vision Research","4, 9","Upon completion of the module students have a basic understanding of central problems in visual perception research. They know scientific methods for examining human perception processes and are capable of using these methods for their own empirical research. Students understand, interpret and assess relevant research articles. They present and discuss them in front of a specialist audience. They are able to document their own research projects. Questions in the field of applied and fundamental visual perception research. Implementation of computational vision models. Visualization of empirical or simulation results. Individual study skills and skills to work in a team. Mindful learning and knowledge acquisition skills."
"Programming I","4, 9","Students have acquired knowledge of object-oriented programming languages, specifically Java, and are able to use their knowledge in small software engineering projects. This module introduces basic concepts of object-oriented programming using Java as an example: - Basic algorithms and data structures - Input and output with streams - Parallel programming with threads - Network communication with sockets - Software design patterns"
"Architecture of Machine Learning Systems","4, 9","Machine learning (ML) applications profoundly transform our lives, and many domains such as health care, finance, media, transportation, production, and information technology itself. In a narrow sense, ML systems are software systems underpinning theses ML applications. However, in a broad sense, ML systems comprise the entire systems from ML applications, over the compiler/runtime stack, to the underlying heterogeneous hardware devices.  The overall objective of this module is to provide a holistic overview of the architecture, internals, and important concepts of modern (large-scale) ML systems. To this end, students acquire important competencies related to ML systems:  O1: Understanding of the characteristics of ML systems and alternatives, which enables a better evaluation and usage of such systems  O2: Understanding of effective techniques related to ML systems, which enables building and extending ML and data systems This module covers the architecture and essential concepts of modern machine learning (ML) systems for both local and large-scale machine learning. These architectures include systems for data-parallel execution, parameter servers, ML lifecycle systems, and the integration of ML into database systems. The covered topics focus both on a microscopic view of internal compilation, execution, and data management techniques, as well as a macroscopic view of end-to-end ML pipelines. In detail, the module covers the following topics which also reflect the lecture calendar (with a separate 90-120min lecture per topic): A: Overview and ML System Internals  01 Introduction and Overview  02 Languages, Architectures, and System Landscape  03 Size Inference, Rewrites, and Operator Selection  04 Operator Fusion and Runtime Adaptation  05 Data- and Task-Parallel Execution  06 Parameter Servers  07 Hybrid Execution and HW Accelerators  08 Caching, Partitioning, Indexing and Compression B: ML Lifecycle Systems  09 Data Acquisition, Cleaning, and Preparation  10 Model Selection and Management  11 Model Debugging, Fairness, and Explainability  12 Model Serving Systems and Techniques The module contains both lectures and exercises/programming projects which are offered as separate courses in order to increase flexibility."
"Speech and Audio Technology in Medicine","3, 4, 9","The students are capable of using methods of speech and audio processing to solve problems in medical applications, such as audio-based diagnostics, or the design of hearing aids and cochlear implants. In the practical part of the seminar, you will have learned to implement one of the relevant algorithms or to utilize an available open-source implementation on your own data, to visualize its results and to discuss them. Additionally, you are able to acquire knowledge in complex topics, to structure this knowledge for other listeners, and to present it. In the seminar, after a general introduction to the topic area, participants give talks about different methods of speech and audio processing as relevant to medical technology. All participants implement an algorithm or verify an existing implementation on own data. The presentation of the results of this algorithm, as well as a critical discussion, are a part of the talk. The concrete algorithms and applications vary, depending on the personal preference of the participants."
"Master’s Thesis Colloquium in Data Management Systems","4, 9","This course enables students to define, shape, and solve a research problem drawn from the area of data management systems using scientific and technical methods within a fixed period of time.  The module conveys: (a) technical competence 10%, (b) methodological competence 40%, (c) system competence 30%, and (d) social competence 20%. The course covers a presentation on open thesis topics at DIMA, as well as a presentation and discussion on the expectations and evaluation criteria of Master's Theses, topic selection, structuring and writing a thesis proposal, including problem statement, solution approach, experimental design, evaluation, and implementation plan as well as project and time management over the course of a Master's Thesis. Upon completion of their thesis, students will offer a presentation of their work (goal and research problem, solution methodology, evaluation and findings) and lessons learned with respect to the preparation and execution of their Master's Thesis for the discussion with their peers. Additionally, participating students will attend scheduled presentations and benefit both from the peers' comments on their work and from the discussion of the work of fellow students."
"Bachelor’s Thesis Colloquium in Data Management Systems","4, 9","This course enables students to define, shape, and solve a research problem drawn from the area of data management systems using scientific and technical methods within a fixed period of time.  The module conveys: (a) technical competence 10%, (b) methodological competence 40%, (c) system competence 30%, and (d) social competence 20%. The course covers a presentation on open thesis topics at DIMA, as well as a presentation and discussion on the expectations and evaluation criteria of Bachelor's Theses, topic selection, structuring and writing a thesis proposal, including problem statement, solution approach, experimental design, evaluation, and implementation plan as well as project and time management over the course of a Bachelor's Thesis. Upon completion of their thesis, students will offer a presentation of their work (goal and research problem, solution methodology, evaluation and findings) and lessons learned with respect to the preparation and execution of their Bachelor's Thesis for the discussion with their peers. Additionally, participating students will attend scheduled presentations and benefit both from the peers' comments on their work and from the discussion of the work of fellow students."
"Project Selection of Storage System","7, 9, 11","The students are able to compare electrical and electrochemical energy storage systems and to choose a suitable technology for a given application , such as renewable energy or electric mobility. They are able to include economical, technical and sustainability aspects into their choice. This module is about one half of the module 40812 Energy Storage Technologies. What is missing compared to that module is the exercise and the learning outcome to be able to perform technical calculations for the different technologies, which is tested in the written test. The learning outcome is limited to selection of a technology and economic calculations that are done in the group work. Different energy storage systems are regarded concerning their electrical characteristics and suitability for different applications. Their working principle and ageing mechanisms are presented in reduced complexity. Cost calculations are presented. Covered technologies: capacitors, coils, flywheels, pumped hydro storage, compressed air, lead-acid batteries, lithium batteries, NiCd, high temperature batteries, redox-flow batteries, thermal energy storage. For completion of this module, mainly the corresponding lecture is relevant, as well as two exercises, where cost calculation and technology selection are explained. Therefore, the exercise is not listed as a part of this module."
"Classic Algorithms in Computer Graphics","4, 9","Students have studied a classic algorithm in computer graphics in depth. They can present this algorithm in adequate form and communicate the main ideas to fellow students. Students can create presentations in a structured manner, improving them systematically, including the use of constructive criticism. Seminar topics are chosen from a catalogue of classic algorithms in computer graphics and related disciplines. These pertain to data structures for 3D space, procedural generation of textures or geometry, image compression, image synthesis, rasterization, simple physical simulation, geometry representations, and others.  Please see: http://www.cg.tu-berlin.de/teaching/"
"Large-scale Data Engineering","4, 9","In this combined seminar/project module, students will learn how to critically read scientific publications, search for scientific literature on a given topic, write a high-quality scientific paper, create prototypes for specific projects, and give high-quality presentations on papers and prototypes. All of these aspects are covered with a special focus on the areas data engineering, data management, and machine learning systems. Together, the programming project and seminar are a solid foundation for subsequent master theses, both at a methodological level and specific topics. This module is comprised of a seminar and programming project in the large context of big data engineering, i.e., topics related to scalable data and ML systems. In detail, the module is structured as follows: A) Seminar on selected topics related to data and ML systems * 3 Lectures on scientific methods (structure of scientific papers, scientific reading and writing, experiments and reproducibility) * Reading selected papers and writing a 6-page summary paper (in LaTeX with provided template)  * 20min oral presentation of summarized topic B) Programming projects on data and ML systems * Selection of a generic or seminar-topic-specific project * Discussion rounds on design, implementation, tests, and experiments * Prototype implementation, tests, and experiments * 15min oral presentation of the created prototype"
"World of Proofcraft","4","Participants of this module master the basics of logical and mathematical proofs. On the one hand, they have the ability to write classical"" proofs as a mixture of formal and natural language. On the other hand, they can write and formalise proofs by means of a proof assistant. With the explicit confrontation with the two ways to write proofs, participants develop the awareness for the various degrees of formality and for the transfer between the corresponding abstraction levels. Furthermore, participants can illustrate their own learning process.  They are able to contextualize and to methodically reflect their knowledge."" - propositional logic and first-order logic - proof assistants - proof techniques - discrete structures - reflection methods"
"Microelectronics for Wireless Communications","4, 9, 11","The module covers the design of radio-frequency integrated circuits for wireless communications, with specific focus on the silicon integrated electronics employed between the antenna and the analog/digital converters of modern mobile devices. After successful completion of this module the students will be able to: - Recognize and understand the specifications of a wireless communication system and translate them into requirements for transmitter and receiver sub-systems - Design preliminary versions of the most important circuit blocks and finalize them with large-signal physical models in computer-aided design environments - Identify and address design trade-offs at the circuit and system level, making informed decisions on practical implementations - Architecture and performance of modern wireless systems for the transmission of digital data - Methods of microwave engineering for IC design at radio and mm-wave frequencies - Radio link budget - Modulation schemes, receiver and transmitter architectures - IC technologies and passive components - Low-noise and power amplifiers - Frequency generation and conversion: mixers, oscillators and multipliers - Phase shifters and true-time delay blocks - Computer-aided design of RF and mm-wave ICs: tools, models, simulation methodologies"
"Recent Trends in Deep Learning for Computer Vision","4, 9","Participants of this seminar acquire advanced knowledge in the field of deep learning for computer vision. After completing this course, the students are capable of conducting a literature search, contextualizing scientific papers and presenting topics drawn from the deep learning and computer vision literature. Moreover, students participate in scientific discussions and have an opportunity to sharpen their critical thinking skills. The seminar aims to deepen the understanding of the participants in current research problems at the intersection of deep learning and computer vision. The topics include, yet are not limited to: - The evolution of CNN architectures (depth, layer composition, activation functions, drop out); - Vision transformers (attention mechanism, basic and advanced architectures); - Data augmentation techniques (basic techniques, MixUp, CutOut, AutoAug, RandAug, etc.); - Semi-supervised learning (temporal ensembling, mean teacher, co-teaching, consistency loss and pseudo-labeling, MixMatch, ReMixMatch, etc.); - Self-supervised learning (foundations of representation learning, pre-text tasks, contrastive loss, triplet loss, SimCLR, BYOL, SimSiam, etc.); - Diffusion Models and Dall-E 2 (current breakthroughs in fusion of semantics of text and image, generative modeling); - Explainable AI (clever hans phenomena, backprogation based method, gradient-based methods); - Optimization theory of neural networks; - Learning and generalization theory of neural networks (shortcut learning, forgetting/memorization events, layer importance, sample difficulty, learning paths, learning bias in texture/shape)."
"Selected Topics in the Area of Sensor and Actuator Systems","9","Particular problems in the area of sensor and actuator systems exceeding the standard courses of the bachelor studies are independently investigated. Mostly, scientific literature in English is used. Finally, the results are presented to a professional audience. The students gain first experience in familiarizing themselves with a technical topic and presenting it. The seminar deals with fundamental topics concerning sensor and actuator systems which are not covered by the regular bachelor education."
"Scientific Problems in the Field of Sensor and Actuator Systems","9","Manageable research questions in the area of sensor and actuator applications are independently investigated and understood using English technical literature. The students derive the capability to explain the topic to a professional audience in an adequate manner. The seminar deals with typical scientific research topics concerning sensors and actuator systems and applications."
"Programming Project: Analysis of (Online) Social Data","4, 9, 16","Students  - have solid basic knowledge about biases and platform-specific properties of datasets which helps them describe limitations of research projects.  - know methods of data collection and can choose and apply a method which is suited for their research project.  - know different metrics that are used when analyzing social data and can interpret and compare these.  - know about methods for analyzing social data and can use these for the analysis of specific datasets. Students learn which aspects of data collection are important in the context of online social data, how to get a dataset containing online social data or where to find one, best practices for dataset annotation, as well as methods for the analysis of online social data, such as social network analysis and sentiment analysis."
"Project Large-scale Data Engineering","4, 9","In this project module, students will learn how to create prototypes for specific projects, and give high-quality presentations on these prototypes. These aspects are covered with a special focus on the areas data engineering, data management, and machine learning systems. This module is comprised of a programming project in the large context of big data engineering, i.e., topics related to scalable data and ML systems. In detail, the module is structured as follows: * Selection of a project * Discussion rounds on design, implementation, tests, and experiments * Prototype implementation, tests, and experiments * 15min oral presentation of the created prototype"
"Seminar Large-scale Data Engineering","4, 9","In this seminar module, students will learn how to critically read scientific publications, search for scientific literature on a given topic, write a high-quality scientific paper, and give high-quality presentations on papers. All of these aspects are covered with a special focus on the areas data engineering, data management, and machine learning systems. This module is comprised of a seminar in the large context of big data engineering, i.e., topics related to scalable data and ML systems. In detail, the module is structured as follows: * 3 Lectures on scientific methods (structure of scientific papers, scientific reading and writing, experiments and reproducibility) * Reading selected papers and writing a 6-page summary paper (in LaTeX with provided template)  * 20min oral presentation of summarized topic"
"Intelligent Robotic Systems - Research Project","4, 9","The students have the practical ability to solve a problems in the field of intelligent robotic systems with a focus on industrial applications using state-of-the-art approaches such as Reinforcement Learning and Computer Vision. They can design and develop software modules for tasks such as autonomous navigation, path planning, and mapping. Additionally, this project involves active participation on research activities of the chair with the possibility to contribute actively to academic papers. The students will have the ability to recognize research gaps, formalize novel research ideas, conceptualize solution approaches, and conduct evaluations. Furthermore, the students gain experience in the writing of scientific research papers and adequate presentation of results. Graduates have further knowledge in the following areas: • Software development for robotic tasks • Development of learning-based software modules • Conception, implementation, evaluation of autonomous navigation systems • Solving practical problems in robotics • Development using machine learning frameworks and tools • Scientific documentation • Presentation of project results Skills in: - Applications of engineering methods - Planning, implementation and testing of a complex software  - Integration of machine learning modules on robotic systems - Working with simulation tools - Scientific work processes Competences in: - Software development for autonomous agents - Independent development of a solution for an interdisciplinary task - Cooperative project work in the form of project planning - Structuring and management of task packages - Scientific Documentation - Presentation of project results In this module, a project is carried out in which students in small groups put their knowledge into practice. The students are actively involved in current research acitivties of the chair and involved in the whole scientific process conceptualizing, implementing, and publishing a scientific research paper. The Projects include topics and aspects with the following areas:  - Application of machine learning approaches for intelligent robotic systems - Applications of reinforcement learning - Applications of deep learning - Robotics - Integration of different sensors and sensor modalities (RGB, Sound, Lidar) The topics vary each semester and will be presented in the introductory event listed on our website. Projects are based on current topics from research and industry."
"System-on-Chip (SoC) + RISC-V Lab","4, 9","After successful completion of this module, students have gained advanced knowledge about the design of highly complex digital circuits and systems, especially Systems-on-Chip (SoC). Fields of knowledge include: fundamentals of complex SoC design, design flow, IP reuse, hardware-software co-design, SoC architectures, real-time operating systems, processor architectures, memory types and hierarchy, on-chip and off-chip bus systems, test and debug methods. Furthermore, the students learn following practical skills in the project: - Use of software tools to design complex digital hardware - Navigating complex design flows for FPGA and IC development - Extension of existing digital hardware projects, e. g. by peripheral modules, bus components, interrupt sources, bus masters - Assessment and evaluation of feasibility and implementation overhead of digital system project ideas - Successive implementation of digital system project ideas: specification, implementation, verification, demonstration using FPGA prototype This module covers advanced concepts and methods of digital hardware design and programming of Systems-on-Chip (SoC) and embedded systems. Contents of the lecture are especially: fundamentals of complex SoC design, design flow, IP reuse, hardware-software co-design, SoC architectures, real-time operating systems, processor architectures, memory types and hierarchy, on-chip and off-chip bus systems, test and debug methods.   In the project, groups of 3 - 4 students learn how to practically apply the lecture contents. The students learn to use complex digital design tools with a comprehensive design flow and hardware-software co-design. A FPGA prototype platform is employed. During the introductory phase, a series of exercise sheets is completed. Afterwards, a self-defined project idea is implemented using the example system as a basis."
"Applied Security Lab","4, 9, 16","Students acquire basic knowledge and skills in the area of system security. They are able to select methods and tools for security and privacy analysis of various IT systems and can use them in a target-oriented manner. They can identify security goals and develop strategies to attack and protect them. Students understand ethical aspects of security analysis and are able to reflect on their role in society and politics. The System Security Lab is a hands-on, entry-level course that explores the security and privacy of IT systems. It provides an introduction to practical system security and serves as preparation for later advanced lab courses. The focus of the lab is on basic techniques of computer and network security. This includes the development of strategies and tools for analyzing real IT systems, exploring their weaknesses, designing attack strategies and reasoning about possible defenses. In each practical unit, the security of different IT systems is analysed, ranging from Android applications (small-scale system) to computer networks (large-scale system)."
"Machine Learning for Computer Security","4, 9","Students have a comprehensive understanding of how machine learning is applied to security problems. They are able to design feature spaces for security data and select appropriate learning concepts and algorithms. They can develop learning-based systems for threat detection, malware analysis, and vulnerability discovery. They are also aware of security threats, such as poisoning and evasion, and know about countermeasures to mitigate them. They understand ethical implications of applying learning-based systems in practice. Principles of machine learning for computer security; feature spaces and embeddings; threat and intrusion detection; malware analysis; vulnerability discovery; deanonymization attacks; poisoning and evasion of security systems; unsupervised and supervised learning concepts for security; algorithms for classification, anomaly detection, clustering, and dimension reduction on security data; experimental design principles"
"Machine Learning and Security - Project","4, 9","After completion of the course, students have a thorough understanding of the intersection of machine learning and security. They are able to either (i) apply learning algorithms to advanced problems/systems in security or (ii) apply principles of security to advanced problems/systems in machine learning. Moreover, they are capable of designing, developing, and evaluating corresponding solutions. Projects will always be customized regarding the students‘ requirements, and offered within the scope of current research. Possible topics for the first branch (i) include learning-based approaches for detecting vulnerabilities, malicious code, and privacy leaks. Possible topics for the second branch (ii) include the development of attacks and defenses for learning-based and data-driven systems."
"Machine Learning and Security - Bachelor Seminar","4, 9, 16","Through this course, students will acquire the skills to: - analyze and understand scientific literature critically, - deliver effective scientific presentations, and - prepare clear and precise scientific reports. Students investigate current research topics in machine learning and security. Moreover, they actively reflect on the technical and ethical impact of security on society and policy. The seminar is concerned with recent topics in machine learning and security. This includes - recent approaches for finding security vulnerabilities, analyzing malicious software, detecting intrusions, exploring privacy leaks and other security properties, as well as - new attacks and defenses in machine learning, evasion and poisoning attacks, membership inference and other privacy attacks as well as completely new attacks for learning-based and data-based systems."
"Machine Learning and Security - Master Seminar","4, 9, 16","Through this course, students will acquire the skills to: - Analyze and understand scientific literature critically - Deliver effective scientific presentations - Prepare clear and precise scientific reports. Students investigate current and advanced research topics in machine learning and security. They reflect on the technical and ethical impact of security on society and policy. The seminar is concerned with advanced topics in machine learning and security. This includes - recent approaches for finding security vulnerabilities, analyzing malicious software, detecting intrusions, exploring privacy leaks and other security properties, as well as - new attacks and defenses in machine learning, evasion and poisoning attacks, membership inference and other privacy attacks as well as completely new attacks for learning-based and data-based systems."
"Project-oriented App and Web Development","4, 9","In the project workshop, the following competencies are to be taught in the methodical as well as content-related processing of apps / web apps: - Planning and conceptual design of software-based solutions for everyday student problems. - Basics of modern project management (especially agile project development using SCRUM) - Use of Kanban boards - Basics of user interface design (best practices"" of app design) - Development of competencies in programming (main topic) - Software-based implementation of own concept ideas - Independent solving of simple informatics problems - Regular analysis and evaluation of the current progress in the project, self-reflection with regard to the respective current progress and the challenges still to come"" The participants will practically implement several of their own app ideas in the course of the module. In doing so, they will gain competencies in the following areas of app development: Conceptual design of (web) apps: - Idea generation for apps / web apps - Development of complete software concepts Introduction to user interface design: - Acquiring basic knowledge of user interface design. - Best practices in UI and UX design - Working with design software - Designing your own (web) app concept Programming of (web) apps (focus topic): - Building skills in programming and using frond-end frameworks. - Independent solving of simple informatics problems - Software-based implementation of the own (web-) app concept"
"Selected Topics in Natural Language Processing","4, 9","In this seminar, students will learn about selected research topics in natural language processing and its applications. In addition, an introduction to reading scientific papers, learning how to give a good presentation, and how to write a technical report. During the seminar, students will learn: - to read and examine the scientific literature critically, - to identify and present examples of relevant real-world application fields of the scientific publication, - to give a good scientific presentation to peers that is precise, informative, and engaging, - to summarize and write a concise technical report including a critical discussion of the research paper (with additional literature research). This seminar discusses selected topics in natural language processing, such as sentiment analysis, named entity recognition, topic modeling, question answering, dialogue systems, machine translation, and natural language generation. At the beginning of the seminar, students will learn about how to read and interpret scientific papers, and how to give a good presentation. Every student will be assigned a research paper from a selection of scientific papers. Students' task will be to read the paper, interpret its results and write a technical report of the paper and discuss the topics main application fields. Students will then prepare a presentation and discuss the paper's main outcomes, the critical points, and the main application areas of the scientific paper."
"Machine Learning and Communications","4, 9, 17","Participants of this seminar will acquire knowledge on methodologies used in current AI and communications research. In particular, this seminar course will provide students on the one hand an in-depth theoretical and practical knowledge on topics such as federated machine learning, complexity-reduced machine learning as well as machine learning in changing environments; and on the other hand a know-how in one or more domains of applications in communications. In addition, students will learn how to critically analyze and understand scientific literature and to give effective scientific presentations. Topics and methods of new publications on topics related to ML and communications are discussed: - Federated machine learning - ML with reduced complexity (efficient neural architectures, neural architecture search, NN compression) - Machine learning in non-stationary environments - Applications of ML in communications applications (video coding, wireless communications, connected devices etc.) - Related topics such as privacy, robustness, explainability Students present publications (reading club style), explain their structure, methods used, and identify the relation to previous work."
"Algorithms for Networked and Distributed Systems","4, 9","Most modern computer systems are inherently distributed and networked, including multi-core computers, wireless sensorsystems, datacenters, peer-to-peer systems, or cryptocurrencies, to just give some examples In order to operate correctly and efficiently, all these systems rely on clever algorithms. Some of the underlying algorithms are fundamentaland are used by most of the systems, others are specialized and exploit specific features of the particular distributed system. The goal of the module is to provide the students with tools and techniques to reason about efficient algorithms for networks and distributed systems.  The lecture is problem-oriented and structured into different fundamental principles, such as Distributed Coordination, Decentralization, Randomization, Indirection, etc. Each lecture will cover a different basic problem (such as Load Balancing, Medium Access, Symmetry Breaking, etc.) and will be self-contained. By the end of the lecture, the student will be able to develop her/his own network algorithms, and formally prove correctness as well as complexity guarantees (e.g., on the computational complexity or the communication complexity). The students will also have a good understanding of when to apply which principle, i.e., where randomization can be useful and where not, or to which extent a distributed system should be decentralized. The students will further have a good idea of the different natures of today's networked systems. If time permits, we will also extend our discussion beyond computer networks and have an algorithmic look at social networks. This module is principally designed to impart: technical skills: 40x, method skills: 40x, system skills 10x, social skills 10x The goal of the seminar is to get an understanding of the fundamental theoretical and algorithmic aspects ofdistributed and networked systems, and their applicability in state-of-the-art and emerging technology. You will learntechniques to model, analyze and optimize networked systems, and get an understanding of emerging trends andapplications. Lecture with tutorial The lectures revolve around fundamental problems and design principles. A tentative outline of the main topics to be covered in the course are  * Network Models and Distributed Systems  * Robust Network Topology Design: Self-Stabilizing and Self-Optimizing Networks  * Decentralization: why and how? Complexity Measures  * Randomization: why and how? Basic Tools  * Algorithms: Local Algorithms, Random Algorithms, Online Algorithms, Dynamic Programming  * Network Algorithms for Leader Election, Coloring, Maximal Independent Sets, Medium Access  * Resource Allocation and Embedding (e.g., energy, bandwidth, CPU)  * Flow & Congestion Control, Routing  * Social Networks: An Algorithmic Perspective Seminar Advanced Topics in Networked and Distributed Systems Given the popularity of data-driven applications (e.g., related to business, health and entertainment) and artificialintelligence, computing systems are becoming increasingly distributed and networked. This results in increasingly stringent performance and dependability requirements on such systems. In this seminar, we discuss emerging and innovative new approaches to improve the efficiency and security of distributed and networked systems. We will revisit the theoretical foundations of networked and distributed systems, the underlying fundamental algorithms and optimizations they rely on, and discuss their applicability in modern networks. We will also discuss recent proposals in the literature which aim to render distributed and networked systems more flexible and secure, and explore further optimization opportunities. Contents: The seminar revolve around fundamental problems and design principles. A tentative outline of the main topics to becovered in the course are * Network algorithms and theory of networking * Distributed algorithms and optimization * Decentralization and scalability * Emerging networking technology and applications, and their impact on models and optimizations"
"Project Hot Topics in Computer Vision A","4, 9","Project title: n.n"" Participants will gain significant insights into computer vision related problems and solutions. The goal is not to explore the whole field of research completely, but rather to confront the participants with the full complexity of one specific problem and to challenge their own initiative. Therefore we do not provide a pedagogically gentle introduction of the learners to the scientific area, but we allow insights and participation in research and development. The ability of the participants to work in a team shall be improved by this module."" The exact contents of this project will be anounced in time before the start of summer term 2020 on our department's webpages."
"Project Hot Topics in Computer Vision B","4, 9","After the course the students are able to organize a project and have experience in scientific research. They are able to work autonomously. Students have knowledge of a specific current topic of Computer Vision. Besides problem analysis and software implementation, the contents of the project include gaining practical knowledge about automotive sensors, project management and teamwork, processes in the automotive industry (e.g., Automotive SPICE) and testing issues. The certificate of performance requires a written report, a presentation, and the developed software."
