titelde,SDGs,lernergebnissedeUNDlerninhaltede
Secure Cryptography,"4, 9, 16","Die Studierenden verfuegen ueber fundierte Kenntnisse kryptographischer Methoden. Sie sind in der Lage kryptographische Protokolle korrekt und sicher zu verwenden. Sie beherrschen die Faehigkeit, Einwegfunktionen und (Pseudo-)Zufallszahlengeneratoren auf ihre Sicherheit zu ueberpruefen.  Ferner sind sie in der Lage, typische Fehler bei asymmetrischer Verschluesselung zu erkennen und bei sich selbst zu vermeiden. a) Public Key Cryptography Funktionsweise gaengiger Methoden asymmetrischer Verschluesselung, sowie moegliche Angriffe bei fehlerhafter Verwendung dieser Methoden. - RSA - El-Gamal - Diffie-Hellman-Schluesseltausch,  - Elliptische Kurven - ausgewaehlte Methoden der Post-Quantum-Kryptographie b) Cryptography for Security Grundlegende Konzepte der Verschluesselung, sowie ihre Konstruktionen und Zusammenhaenge - symmetrische Verschluesselung - Einwegfunktionen - Zufallszahlengeneratoren"
Masterprojekt Netzwerkinformationssysteme,"4, 9, 11","Die Studierenden erwerben Methoden und Faehigkeiten zur Loesung einer wissenschaftlichen Fragestellung im Bereich der Netzwerkinformation. Sie koennen wissenschaftliche Fragen formulieren sowie eine Hypothese auf diesem Gebiet beweisen oder widerlegen. Insbesondere koennen sie systematisch Ergebnisse erstellen und veroeffentlichen, um die These zu validieren und Schlussfolgerungen fuer weitere Studien in diesem Forschungsbereich abzuleiten. Darueber hinaus koennen die Studierenden eigenstaendig Forschungsansaetze verfolgen und verwandte Arbeiten in diesem Bereich kritisch hinterfragen. Netzwerkinformationssysteme werden kontinuierlich verbessert, um eine immer groessere Anzahl von Computergeraeten miteinander zu verbinden und eine Vielzahl unterschiedlicher Anforderungen zu erfuellen. Insbesondere der hoehere Durchsatz, die geringere Latenz und die hoehere Zuverlaessigkeit ebneten den Weg fuer zukuenftige Anwendungsszenarien, z. B. Augmented Reality, autonomes Fahren und zuverlaessige industrielle Kommunikation. Neue Anwendungsfaelle stellen jedoch haeufig neue Anforderungen, die implizieren, dass drahtlose Kommunikationssysteme kontinuierlich angepasst werden muessen. Im Rahmen des Projekts entwickeln die Studierenden Loesungen fuer ausgewaehlte Themen im Bereich Netzwerkinformationssysteme. Die Studierenden arbeiten mit einem Mitglied unseres Instituts an einem aktuellen Forschungsthema. Insbesondere werden die Studierenden Prototypen entwerfen, implementieren und bewerten, um Netzwerkinformationssysteme zu verbessern."
Umweltgerechtes Design elektronischer Systeme (Theorie),"4, 9, 12","Die Studierenden besitzen vertiefte Kenntnisse auf dem Gebiet des umweltgerechten Designs von elektronischen Systemen mit Bezug auf den gesamten Lebenszyklus. Sie koennen Umwelteigenschaften von elektronischen Produkten, ihrer Herstellungsprozesse und Entsorgung beurteilen. Sie sind befaehigt, eigenstaendig Methodenansaetze und Umweltaussagen zu Elektronik zu analysieren und kritisch zu hinterfragen. Sie kennen den zum Zeitpunkt der Vorlesung aktuellen Stand relevanter EU-Gesetzgebungen.  Fachkompetenz: 40% (Elektronik) Fachkompetenz: 30% (Gesetzgebung) Methodenkompetenz: 30% (Umweltbewertung) Vermittelt werden Kenntnisse ueber Umweltaspekte bei elektronischen Produkten waehrend des gesamten Lebenszyklus sowie Methoden zur Bewertung der Umwelteigenschaften von elektronischen Produkten und ihrer Herstellungsprozesse."
Group IV Photonics,"4, 7, 9","Studierende, die das Modul absolviert haben, sind insbesondere mit den Themen der Siliziumphotonik vertraut, wobei im Rahmen dieses Moduls vor allem die physiknahe und technologische Ebene behandelt wird. Im Seminar Group IV Photonics erhalten die Studierenden die Moeglichkeit, sich weitgehend selbststaendig in ein Thema der Photonik einzuarbeiten und dies in einem Fachvortrag zu praesentieren."
eduhacktory - digitale Lehre in Berlin kritisch reflektiert (WiSe),"4, 5","Kenntnisse:  • Kompetenz- und Entwicklungsstufen von Schueler*innen  • je nach Fachrichtung und eigenen Vorkenntnissen: Grundkenntnisse der Informatik Fertigkeiten:  • Datenschutzgerechtes Arbeiten und Verhalten  • Praesentieren  • Gendergerechte und inklusive Sprache zu verwenden Kompetenzen:  • adressatengerecht, gendergerecht und inklusiv zu kommunizieren  • Teamfaehigkeit  • Selbstreflexion und kritische Analyse bestehender gesellschaftlicher Probleme  • Verantwortungsbewusstsein  • Komplexe Fragestellungen interdisziplinaer zu diskutieren 1. Reflexion der eigenen digitalen Geschichte 2. Mentoring, Didaktik, Umgang in Konfliktsituationen 3. Datenschutz im Umgang mit Schueler*innen 4. Arbeiten in der grafischen Entwicklungsumgebung Scratch 5. Praktische Erfahrungen  • Inhaltliche Betreuung von Schueler*innen (Mitwirkung bei der BYTE Challenge in Berlin)  • Reflexion der neuen Erfahrungen 6. Reflexion aus interdisziplinaerer Perspektive 7. Erarbeiten innovativer Loesungsansaetze fuer die digitale Lehre in Berlin"
eduhacktory - digitale Lehre in Deutschland kritisch reflektiert (SoSe),"4, 5","Kenntnisse:  • Kompetenz- und Entwicklungsstufen von Schueler*innen  • je nach Fachrichtung und eigenen Vorkenntnissen: Grundkenntnisse der Informatik Fertigkeiten:  • Datenschutzgerechtes Arbeiten und Verhalten  • Praesentieren  • Gendergerechte und inklusive Sprache zu verwenden Kompetenzen:  • adressatengerecht, gendergerecht und inklusiv zu kommunizieren  • Teamfaehigkeit  • Selbstreflexion und kritische Analyse bestehender gesellschaftlicher Probleme  • Verantwortungsbewusstsein  • Komplexe Fragestellungen interdisziplinaer zu diskutieren 1. Reflexion der eigenen digitalen Geschichte 2. Mentoring, Didaktik, Umgang in Konfliktsituationen 3. Datenschutz im Umgang mit Schueler*innen 4. Arbeiten in der grafischen Entwicklungsumgebung Scratch 5. Praktische Erfahrungen:  • Inhaltliche Betreuung von Schueler*innen (Mitwirkung bei der BYTE Challenge, deutschlandweit)  • Reflexion der neuen Erfahrungen 6. Reflexion aus interdisziplinaerer Perspektive 7. Erarbeiten innovativer Loesungsansaetze fuer die digitale Lehre in Deutschland"
Einfuehrung in die IT-Sicherheit,"4, 9, 16","Studierende kennen die grundlegenden Probleme und Zielsetzungen der IT-Sicherheit. Sie sind in der Lage, Systeme hinsichtlich ihrer Sicherheit einzuschaetzen und das resultierende Risiko abzuschaetzen. Sie kennen die technischen Schritte, Risiken zu minimieren, Schwachstellen zu finden und abzustellen, Kommunikation abzusichern oder zu verifizieren und Systeme moeglichst sicher zu entwickeln. Zudem ist ihnen die Bedeutung ausreichend getesteter Systeme bewusst. Den Studierenden werden grundlegende Kenntnisse bezueglich der folgenden Themen vermittelt: - Begriffe, Definitionen, Zielsetzung und Motivation - symmetrische und asymmetrische Verschluesselung - Identifikation und Authentifikation - Entwurf sicherer Systeme + Access Control + Principle of least Privilege  - Netzwerksicherheit - Schwachstellen in Soft- und Hardware - Security Testing."
Ausgewaehlte Themen zu Algorithmen und Datenstrukturen,"4, 9","Fachspezifisch: Die Studierenden kennen einige vertiefte Themen zu Algorithmen und Datenstrukturen und haben detailliertes Wissen zu einem ausgewaehlten Thema. Fachuebergreifend: Die Studierenden - koennen Quellen recherchieren und reflektiert beurteilen  - sind in der Lage wissenschaftliche Themen vor Publikum zu praesentieren und kritisch zu diskutieren - kennen Praesentationstechniken, um den Inhalt eines Fachvortrags moeglichst klar und verstaendlich anzubringen - haben die Faehigkeit, Fachinhalte schriftliche gemaess wissenschaftlichem Anspruch auszuarbeiten - koennen ihre Zeit sinnvoll einteilen - Wissenschaftliche Artikel zu einem Teilgebiet von Algorithmen und Datenstrukturen, wie zum Beispiel Algorithmen zur Loesung von Strategiespielen - Implementieren und Visualisieren von Fachinhalten - Lesen, Verstehen und Praesentieren der wissenschaftlichen Literatur - Diskussion ueber unterschiedliche Arten von Algorithmen und ihre Eignung fuer gegebene Anwendungen"
DCAITI: Projekt Simulation Vertiefung vernetztes und automatisiertes Fahren,"4, 9, 11","Die Studierenden haben mit Hilfe von Simulationen praktische Erfahrungen mit der Umsetzung und Validierung von vernetzten Mobilitaetsanwendungen gesammelt. Zielsysteme sind neben den automatisierten Fahrzeugen auch Smartphones. Dieses Modul ist als Vertiefung zu unserer Lehrveranstaltung sim VAF zu verstehen und bietet den Studierenden die Moeglichkeiten der Simulation von Anwendungen, die auf Fahrzeug-zu-X Kommunikation basieren. Beispielhafte Anwendungen betreffen verschiedene Bereiche des autonomen Fahrens, Verkehrseffizienz oder Komfort-Applikationen. Im Projekt soll unsere vorhandene Simulationsumgebung Eclipse MOSAIC verwendet und weiter entwickelt werden. In initialen Fachvortraegen stellen wir verschiedene Simulatoren, Tools und Ansaetze vor, die innerhalb unserer Simulationsumgebung zum Einsatz kommen. Gemeinsam werden dann einzelne weiterfuehrenden Aspekte erarbeitet, die selbststaendig geloest, implementiert, in Kurzvortraegen praesentiert und entsprechenden Dokumentation niedergeschrieben werden."
Maschinelles Lernen fuer die Zustandsueberwachung von technischen Anlagen und Systemen,"4, 9, 12","Nach Abschluss des Moduls haben die Studierenden vertiefte Kenntnisse im Bereich Zustandsueberwachung fuer die zustandsbasierte und praediktive Instandhaltung von technischen Anlagen und Systemen. Die Studierenden werden in die Lage versetzt Anomalien in Sensordaten zu detektieren, gefundene Fehler zu klassifizieren und Zustandsprognosen durchzufuehrend. Dies beinhaltet die Auswahl, die selbstaendige und praxisbezogene Anwendung sowie die wissenschaftlich fundierte Weiterentwicklung geeigneter Methoden. Die integrierte Veranstaltung besteht aus Vorlesungs- und uebungseinheiten. Die Vorlesung gibt eine Einfuehrung in die verschiedene Instandhaltungsstrategien und deren Entwicklung. Dabei wird die Rolle von datengetriebenen Methoden der Zustandsueberwachung fuer die zustandsbasierte und praediktive Instandhaltung von technischen Anlagen und Systemen beleuchtet. Vertiefend werden moderne datengetriebene Methoden zur Fehlererkennung, -Diagnose und Prognose anhand von Sensordaten erlernt. In den uebungseinheiten werden Methoden des maschinellen Lernens auf praktische Probleme angewandt und mit Hilfe von Python geloest."
Kausale Inferenz,"4, 9, 17","“Korrelation ist nicht Kausalitaet” - nach diesem Mantra scheint sich die datenbasierte Inferenz von Kausalitaet einer wissenschaftlichen Behandlung zu entziehen. Doch in den letzten Jahrzehnten hat sich die moderne Kausalitaetstheorie, begruendet durch Informatiker wie Judea Pearl und Philosophen wie Peter Spirtes und Clark Glymour, immer mehr etabliert. Diese Theorie stellt die Beschreibung von Kausalbeziehungen auf eine mathematische Grundlage und erklaert, unter welchen Bedingungen sich kausale Abhaengigkeiten aus Beobachtungsdaten schaetzen lassen. Das Modul hat ein Verstaendnis der Kausalitaetskonzepte wie auch der statistischen Schaetzproblematik zum Ziel und wird die Methoden mit Anwendungsbeispielen insbesondere auch auf Zeitreihen illustrieren. Im Modul “Kausale Inferenz” werden grundlegende Konzepte der Kausalitaet nach Pearl und Spirtes eingefuehrt und der zugehoerige mathematische Apparat vorgestellt. Ausgehend vom Konzept der Graphischen Modelle und bedingten Unabhaengigkeiten werden Lernalgorithmen diskutiert. Ein wichtiger Teil ist die praktische Schaetzproblematik fuer das Lernen kausaler Graphen und statistischer Verfahren zum Schaetzen von bedingten Unabhaengigkeiten. Da in vielen angewandten Wissenschaften Zeitreihendaten vorkommen, wird ein besonderer Schwerpunkt auf die fuer Zeitreihen charakteristischen Problemstellungen liegen. Den Abschluss bilden beispielhafte Anwendungen von kausalen Inferenzmethoden auf Klimazeitreihen."
Antennen und Funksysteme,"4, 9, 11","Die Vorlesung Antennen und Funksysteme vermittelt anwendungsbezogene Kenntnisse der Hochfrequenz- und Mikrowellentechnik. Nach Abschluss der Lehrveranstaltung ist die Studentin oder der Student in der Lage, die wesentlichen Baugruppen und Funktionen komplexer Funksysteme zu verstehen. Die Funksysteme sind ein wichtiges, zukunftsorientiertes Gebiet der Elektrotechnik und Informationstechnik und ermoeglich die drahtlose Kommunikation, die Sensorik und die Positionsbestimmung. Die Anwendungen sind vielfaeltig und haben eine grosse wirtschaftliche Bedeutung. Sie reichen vom Mobilfunk und WLAN, ueber Radar und bildgebenden Verfahren hin zu GPS. Die Lehrinhalte der Vorlesung umfassen Signale und Systeme, Mikrowellen- und Millimeterwellentechnik, Antennen und Wellenausbreitung: • Signalbeschreibung im Zeitbereich, Frequenzbereich, Basisband, Leistung • Lineare und nichtlineare Systeme  • Antennen, Strahlungsmechanismen • Antennenbegriffe, Antennenvermessung • Grundsaetzliche Antennentypen • Streuparameter, Y, Z Parameter inklusive Antennen und Quellen, Zusammenhang mit Signalen und Systemen • Antennensysteme, Strahlformung, Verkopplung, MIMO • Wellenleiter • Leitungsdiagramm, Anpassung, Anpassungsbereiche • Leitungsbauelemente • Nichtlineare Bauelemente, Mischer, IQ Modulation, IQ Demodulation • Aktive Zweitore, Gewinn, Stabilitaet • Aktive Eintore (Generatoren), Phasenrauschen • Rauschen, Rauschzahl und Rauschtemperatur • Systemauslegung, Linkbudget"
Einfuehrung in die Kuenstliche Intelligenz,"4, 9","Die Student:innen gewinnen ein integratives Verstaendnis des Forschungsgebiets Kuenstliche Intelligenz, das daten-basierte KI (insb. Maschinelles Lernen) und model-basierte KI (insb. Planung & Reasoning) gleichberechtigt und integriert. Die Student:innen verstehen KI aus Sicht der Entscheidungs-Theorie, des Maschinellen Lernens, der Optimierung, und des klassischen Problemloesens. Die Student:innen koennen grundlegende Algorithmen aus den genannten Gebieten eigenstaendig von Grund auf implementieren und im Detail verstehen. Die Student:innen wissen, welche Problemformulierung und Algorithmen der KI fuer ein gegebenes Anwendungsproblem adaequat sind. Die Problemformulierungen und algorithmischen Ansaetze der Gebiete * Entscheidungstheorie (inkl. Reinforcement-Lernen, Banditen, Regelungstheorie) * Maschinelles Lernen * Optimierung * Inferenz, klassisches Planen, & Problemloesen Zudem, grundlegende und wiederkehrende algorithmische Prinzipien wie: * Dynamisches Programmieren * Optimierungs- vs. sample-basierte Methoden * Entscheidungsbaeume"
Bewegungsplanung,"4, 9, 11","Bewegungsplanung ist eine wichtige Grundlage fuer autonome Systeme mit Anwendungsfeldern in der Robotik, industriellen Automatisierung und selbstfahrenden Autos. Nach dem Kursabschluss haben Student*innen detailliertes Verstaendnis ueber folgende Themen: • Formalisierung von geometrischer, kinodynamischer und optimaler Bewegungsplanung; • Stichproben-basierte Verfahren: Schnell-erkundende Zufallsbaeume (RRT), Wahrscheinlichkeitskarten (PRM) sowie Varianten; • Such-basierte Verfahren: A* auf Zustandsgittern sowie Varianten; • Optimierungs-basierte Verfahren: Differentielle Flachheit und Sequentielle Konvexe Programmierung; • Die relevanten theoretischen Eigenschaften dieser Algorithmen (Vollstaendigkeit, Optimalitaet, Komplexitaet). Student*innen werden imstande sein: • Zu entscheiden (theoretisch und empirisch) welche Verfahren fuer ein gegebenes Problem erfolgversprechend sind; • Einfache Versionen der Algorithmen selbst zu programmieren; • Aktuelle akademische und industrielle Werkzeuge der Bewegungsplanung (z.B.: Open Motion Planning Library (OMPL)) zu nutzen. Diese Lehrveranstaltung wird gemeinsam von Dr. Andreas Orthey (Realtime Robotics) und Dr. Wolfgang Hoenig (TU Berlin) entwickelt und gehalten. Dieser Kurs bietet eine einheitliche Perspektive auf die Bewegungsplanung und beinhaltet Themen von verschiedenen Forschungs- und Industrie-gemeinden. Das Ziel ist sowohl die theoretischen und praktischen Grundlagen der verschiedenen Ansaetze zu lehren, als auch die verschiedenen Methoden bezueglich der Anwendungsanfordungen zu unterscheiden. Ein wichtiger Schwerpunkt ist die Betrachtung der geometrischen und kinodynamischen Planung fuer die wichtigen Algorithmusarten. Teil 1: Grundlagen • Einfuehrung, Motivation und Problemstellung • Konfigurationsraum, Transformationen, Rotationsbeschreibungen, Metriken • Effiziente Kollisionspruefung Teil 2: Such-basierte Verfahren • A* und relevante Varianten mit ihren theoretischen Eigenschaften • Bewegungsprimitive, Planung auf Zustandsgittern • Search-based Planning Library (SBPL) Teil 3: Stichproben-basierte Verfahren • Baum-basierte Planung: RRT, EST • Graph-basierte Planung: PRM • Asymptotisch-optimale Planung: RRT*; PRM* • Stichprobentheorie (Dispersion, Diskrepanz) • Open Motion Planning Library (OMPL) Teil 4: Optimierungs-basierte Verfahren • ueberblick ueber kontinuierliche eingeschraenkte Optimierungsformulierung • Parametrische Trajektorienrepresentationen und differentielle Flachheit • Mathematische Kodierung fuer Bewegungsplanung: SCP und KOMO Teil 5: Aktuelle und Fortgeschrittene Themen, z.B. • Echtzeitplanung • Hybride Such-, Stichproben-, oder Optimierungs-basierte Bewegungsplanung • Maschinelles Lernen fuer die Bewegungsplanung • Bewegungsplanung fuer mehrere Roboter: dRRT, M*"
Moderne Cloud-Applikationen,"4, 9","Das Projektmodul, das ueber das Frauenfoerderungsprogramm proScience organisiert wird, soll durch die anwendungsorientierte Programmierung die IT-Kompetenz der Studentinnen foerdern und den Eintritt in eine Wissenschaftskarriere ebnen. Die Studentinnen beherrschen die grundlegenden Techniken zur Implementierung einer modernen Webanwendung. Dabei koennen sie Anforderungen formulieren und diese in Frontend und Backend umsetzen, wobei sie deren Schnittstellen definieren koennen. Die Veranstaltung vermittelt ueberwiegend: Fachkompetenz 35%, Methodenkompetenz 10%, Systemkompetenz 35%, Sozialkompetenz 20% * Anforderungen * Versionsverwaltung * Spring Boot starter * REST-Schnittstellen * Datenbanken * Objektrelationale Abbildungen * Automatisierte Tests * Fronend-Technologien * Bereitstellung einer Anwendung"
Aktuelle Forschung in KI & Robotik,"4, 9","* Verstaendnis, welche Methoden in aktueller KI- und Robotik-Forschung tatsaechlich genutzt werden * Motivation zum Erlernen relevanter KI-Methoden und zugrundeliegender Theorie (insb. der relevanten mathematischen Grundlagen) Themen und Methoden neuer Publikationen auf KI & Robotik Konferenzen (insb. RSS, CORL) werden besprochen. Studenten praesentieren Publikationen (im Stile eines reading club), erlaeutern deren Struktur, genutzten Methoden, und identifizieren die Relation zu vorherigen Arbeiten."
Maschinelles Lernen und inverse Probleme in der Neurobildgebung,"3, 4, 9","Wissen: Die Studierenden verstehen die Grundlegenden Konzepte statistischer und physikalischer Vorwaertsprobleme und inverser Probleme. Sie sind mit der physikalischen Vorwaertsmodellierung von Magneto- und Elektroenzephalographie (MEEG) vertraut. Sie sind mit den grundlegenden mathematischen Ansaetzen zur Loesung inverser Problem wie Dipolfits, beamforming, blinder Quellentrennung, und Bayesscher Modellierung vertraut. Sie kennen sich mit dem Konzept der Regularisierung aus und wissen, wie man Vorwissen in den inversen Formalismus einzubringen kann. Sie lernen mit verschiedenen praktischen Herausforderungen wie der Schaetzung des Signal-Rausch-VerhaeltnissesWahl des Regularisierungsparameters umzugehen.  Fertigkeiten: Die Studierenden koennen inverse Probleme als unueberwachte oder ueberwachte Lernprobleme modellieren. Sie erwerben oder verfeinern die Faehigkeit, ein inhaltlich klar abgegrenztes Feld anhand vorgegebener Literatur zusammenzufassen, um vorgegebene Fragen zu beantworten. Die Ergebnisse der wissenschaftlichen Recherche werden in einem Fachvortrag praesentiert, wobei Praesentationstechniken erworben oder verfeinert werden und wissenschaftlicher Diskurs geuebt wird. Kompetenzen: Die Studierenden koennen die Vor- und Nachteile verschiedener Modellierungen in gegebenen `Anwendungskontexten beurteilen und informierte Entscheidung bzgl. der Modellierung treffen. - Beispiele fuer inverse Probleme in der Biomedizin, insbesondere in der Neurobildgebung - physikalische Grundlagen der Magneto- und Elektroenzephalographie (MEEG)  - Vorwaertsmodellierung und physikalische Simulation von MEEG Messungen - Dipole fits, beamforming, scanning Techniken - Penalized likelihood Ansatz: Glattheit, structured sparsity, elastic net, total variation denoising - Bayessche Inferenz: maximum a-posteriori Schaetzer, hierarchical and empirical Bayes, sparse Bayesian learning - Verfahren zur Rauschschaetzung - Blinde Quellentrennung als statistisches inverses Problem - Simulationen und Validierung - Forschungssoftware - Anwendungen in Gehirn-Computer Schnittstellen und in der Neurologie"
Qualitaetssicherung fuer Maschinelles Lernen,"4, 9","Kenntnisse: Die Studierenden sind vertraut mit den abstrakten Anforderungen, die gegenwaertige und geplante Gesetzesinitiativen an Systeme und Produkte, die kuenstliche Intelligenz (KI) oder Maschinelles Lernen (ML) verwenden, stellen (werden). Sie kennen verschiedene Dimensionen der Qualitaet von KIML Systemen und Produkten, und haben sich geeignete quantitative Verfahren und Metriken zur Messung von Qualitaet, sowie technische Ansaetze zur Wahrung und Verbesserung von Qualitaet, erarbeitet.  Fertigkeiten: Die Studierenden erwerben praktische Faehigkeiten hinsichtlich des debuggings von ML Anwendung, indem sie code undoder Daten sowie workflows analysieren. Sie erwerben oder verfeinern die Faehigkeit, ein inhaltlich klar abgegrenztes Feld anhand vorgegebener Literatur zusammenzufassen, um vorgegebene Fragen zu beantworten. Die Ergebnisse der wissenschaftlichen Recherche werden in einem Fachvortrag praesentiert, wobei Praesentationstechniken erworben oder verfeinert werden und wissenschaftlicher Diskurs geuebt wird. Kompetenzen: Die Studierenden sind in der Lage, die Risiken und Ausfallarten eines gegebenen KIML Systems oder Produktes zu analysieren. Sie sind weiterhin in der Lage, Testverfahren vorzuschlagen, um die Funktionstuechtigkeit des SystemsProduktes unter verschiedenen Stoereinfluessen zu bewerten, sowie Massnahmen vorzuschlagen, um unerwuenschtes Systemverhalten zu verhindern. Sie sind ferner in der Lage, die ethischen, oekonomischen und sonstigen Implikationen einzelner Ausfallarten zu diskutieren. - Motivation und einleitende Beispiele aus den Bereichen Automotive, Medizin oder Finanzen - Erarbeitung von Taxonomien anhand von Risikoklassen und Ausfallarten - rechtliche Anforderung an KI Systeme - ethische Fragen - Qualitaetsaspekte von KIML Systemen  * Datenqualitaet  * Modellguete, Generalisierbarkeit  * Modellrobustheit  * Fairness  * Transparenz  * Unsicherheitsschaetzung und -kalibrierung  * Arten von Interpretierbarkeit und Erklaerbarkeit  * Datenschutz - Testverfahren und quantitative Metriken zur Messung von Qualitaet - praktische Ansaetze, um hohe Qualitaet zu gewaehrleistenerreichen - Simulationend und Benchmarks - Gegenwaertige Normungs- und Standardisierungsaktivitaeten"
Verkehrssicherheit und Beleuchtung,"3, 4, 11","Nach Abschluss des Moduls koennen die Studierenden Zusammenhaenge zwischen der Beleuchtungssituation und der Verkehrssicherheit erfassen. Sie kennen die wichtigsten lichttechnischen Einflussparameter auf die Verkehrssicherheit und sind in der Lage, lichttechnische Berechnungen durchzufuehren.  Mit ihrem Wissen qualifizieren sich die Studierenden fuer die Arbeit in der Lampen- und Leuchten- und Automobilindustrie, in Lichtplanungsbueros, in Staedten und Gemeinden, in Licht- und Strahlungsmesslaboren, in Pruefstellen sowie fuer gutachterliche Taetigkeiten. Im Mastermodul Verkehrssicherheit und Beleuchtung werden die Veranstaltungen Beleuchtungstechnik II (Pflicht) sowie Grundlagen der Lichttechnik, Einfuehrung in die Lichttechnik und Physiologische Optik (Wahlpflicht) angeboten. Inhalte der Veranstaltungen sind unter anderem: Beleuchtungstechnik II: Ortsfeste Strassenbeleuchtung, Strassendeckschichten, Wahrnehmungsbedingungen, Guetemerkmale der Strassenbeleuchtung und ihre Masszahlen, Beleuchtungsplanung und Strassengeometrien, Messung und Bewertung, Beleuchtung von Verkehrszonen mit erhoehtem Unfallrisiko, Stationaere Lichtsignalanlagen, Tunnelbeleuchtung, Sportstaettenbeleuchtung und Arbeitsplaetze im Freien Grundlagen der LichttechnikEinfuehrung in die Lichttechnik: Grundgroessen der Lichttechnik, Raumwinkel, photometrisches Grundgesetz, Verhalten an optischen Grenzflaechen, Lichtausbreitung in optischen Systemen Physiologische Optik: Anatomie des Sehorgans, Physiologie des Sehens, Adaptation und Blendung, Sehschaerfe und Fehlsichtigkeit, Rezeptoren"
Das AMOS Seminar: Scrum Master,"4, 8, 9","Ziel agiler Softwareentwicklung ist es, den Softwareentwicklungsprozess flexibler und schlanker zu machen, indem beispielsweise das Vorgehen der Teammitglieder bei der Softwareentwicklung und ihr Miteinander Prioritaet gegenueber Prozessen und Werkzeugen erhalten. Dieses Projekt vermittelt Faehigkeiten, die zur Ausfuellung der Rolle eines Scrum-Master notwendig und hilfreich sind:   Im Speziellen: - Die Studierenden lernen, wie sie verteilte agile Softwareentwicklungsteams coachen koennen. - Die Studierenden lernen, die Rolle des Scrum-Masters in einem agilen Team zu uebernehmen. In diesem Kurs lernen die Studierenden, wie sie agile Softwareentwicklungs-Teams coachen koennen. Der Kurs kombiniert Theorie (Kurzvortraege und Diskussionen in der Klasse) mit Praxis (Studierende werden die Rolle des Scrum-Masters in einem AMOS-Projekt uebernehmen). Einige der behandelten Themen sind: - Agile Denkweise, - Durchfuehrung von Retrospektiven, - Duchfuehrung von Workshops, - Zuhoeren, Feedback geben, - Veraenderung leiten, - Loesung von Konflikten. Voraussetzung fuer die Teilnahme ist der erfolgreiche Abschluss eines AMOS-Projekts, entweder als Product Owner oder Softwareentwickler. Der Kurs wird in zwei 90-minuetigen Bloecken abgehalten, einer fuer Kurzvortraege und Diskussionen in der Klasse, einer fuer die uebung, in der die Teilnehmenden die Rolle eines Scrum-Masters uebernehmen. Weitere Informationen zum Kurs finden Sie unter https:coach.uni1.de."
