titelde,SDGs,Descriptions
Spezielle Anwendungen der Feldsimulation,"9,13,17","Lehrergebnisse: Die Studierenden besitzen tiefergehende Kenntnisse über aktuelle Simulationsansätze für elektromagnetische Felder und deren Anwendung auf aktuelle Problemstellungen. Sie sind in der Lage, solche Simulationen mit aktuellen Verfahren einzuschätzen und gegebenenfalls durchzuführen. Das Modul vermittelt außerdem die Grundkenntnisse, um solche Verfahren in späteren Projekten gezielt weiterentwickeln zu können.
Lehrinhalte: Das Modul beinhaltet eine Vertiefung von Ansätzen der Feldsimulation. Die Themen beinhalten weiterführende Grundlagen ebenso wie einige aktuelle Ergebnisse aus der Forschung. In der Veranstaltung IV Spezielle Anwendungen der Feldsimulation"" können Je nach Interesse der Studierenden ausgewählte Themen und Anwendungsgebiete behandelt werden, z.B. aus den Bereichen Magnetostatik, Magnetoquasistatik, Hochfrequenztechnik oder Optik."""
Mathematische Methoden der Feldsimulation,"4,9,17","Lehrergebnisse: Die Studierenden haben vertiefte Kenntnisse von Simulationsalgorithmen, mit einem Schwerpunkt auf deren mathematischen Grundlagen. Sie können geeignete Formulierungen und Lösungsverfahren auswählen, verstehen deren Eigenschaften und sind so in der Lage, Weiterentwicklungen im Bereich der Simulationsmethoden mit mathematischem Verständnis anzugehen.
Lehrinhalte: Mathematische EIgenschaften von Simulationsalgorithmen, u.a.: - Eigenschaften von Diskretisierungsverfahren - Bedeutung von Eigenlösungen und Spektralzerlegungen - algebraische Lösungsverfahren für Gleichungssystem und Eigenwertprobleme - theoretischer Hintergrund von Potentialformulierungen"
Projekt Elektromagnetische Feldsimulation,"9,4,13,17","Lehrergebnisse: Die Studierenden können moderne state-of-the-art Simulationsoftware verwenden, um die elektromagnetischen Eigenschaften einzelner Komponenten oder größerer Systeme zu analysieren oder ihr Design hinsichtlich dieser Eigenschaften zu verbessern. Sie können einschätzen, welche Werkzeuge dafür geeignet sind, wie groß der Aufwand an Rechenzeit und Speicherplatz ist und welche Simulationsgenauigkeiten erreichbar sind. Abhängig vom jeweiligen Projekt erlernen sie auch, Teile solcher Software durch eigene Implementierungen zu verbessern oder zu ergänzen. Die Ergebnisse können in schriftlicher Form und in einer Präsentation dargestellt werden.
Lehrinhalte: Bearbeitung einer elektromagnetischen Designaufgabe mit kommerzieller Software und/oder eigenen Implementierungen. Einarbeitung in das Thema, Ansteuerung und effizienter Einsatz der Simulationswerkzeuge, Interpretation und Darstellung der Ergebnisse. Betreut von Mitarbeitern des Fachgebiets wird das Projekt in kleinen Teams während des Semesters bei weitgehend eigener Zeiteinteilung bearbeitet. Schwerpunkt ist auch die Präsentation der Ergebnisse (2 Vorträge und Ausarbeitung)."
Projekt Mathematische Methoden der Feldsimulation,"9,4,13,17","Lehrergebnisse: Die Studierenden können moderne state-of-the-art Simulationsoftware verwenden, um die elektromagnetischen Eigenschaften einzelner Komponenten oder größerer Systeme zu analysieren oder ihr Design hinsichtlich dieser Eigenschaften zu verbessern. Sie können einschätzen, welche Werkzeuge dafür geeignet sind, wie groß der Aufwand an Rechenzeit und Speicherplatz ist und welche Simulationsgenauigkeiten erreichbar sind.  Bei diesem Projekt liegt der Schwerpunkt auf eigenen Implementierungen von Teilen der Simulationskette bzw. einer effizienten Zusammenstellung gegebener Algorithmen. Die Ergebnisse können in schriftlicher Form und in einer Präsentation dargestellt werden.
Lehrinhalte: Implementierung von Algorithmen oder Teilen davon im Zusammenhang mit elektromagnetischer Feldsimulation.Einarbeitung in das Thema, Ansteuerung und effizienter Einsatz von einschlägigen Werkzeugen oder Bibliotheken, Interpretation und Darstellung der Ergebnisse. Betreut von Mitarbeitern des Fachgebiets wird das Projekt in kleinen Teams während des Semesters bei weitgehend eigener Zeiteinteilung bearbeitet. Schwerpunkt ist auch die Präsentation der Ergebnisse (2 Vorträge und Ausarbeitung)."
Elektromagnetische Wellen,"9,4,7,17","Lehrergebnisse: Die Studierenden verfügen über ein vertieftes Verständnis für elektromagnetische Felder und Wellen. Mit den erlernten Methoden sind sie in der Lage, elektromagnetische Probleme in den verschiedensten Fachgebieten der Elektrotechnik zu verstehen und zu behandeln.
Lehrinhalte: Das Modul beinhaltet die vertiefte Behandlung elektromagnetischer Felder und Wellen. Dies wird in vielen Teilgebieten der Elektrotechnik benötigt, wie z.B. bei Hoch- und Höchstfrequenztechnik, Mikroelektronik, Mikrosystemtechnik, Nachrichtenübertragung, Antennen, Elektromagnetische Verträglichkeit, usw."
Theorie elektromagnetischer Felder und Wellen,"9,4,7,17","Lehrergebnisse: Die Studierenden verfügen über ein vertieftes Verständnis für elektromagnetische Felder und Wellen. Mit den erlernten Methoden sind sie in der Lage, elektromagnetische Probleme in den verschiedensten Fachgebieten der Elektrotechnik zu verstehen und zu behandeln.
Lehrinhalte: Das Modul beinhaltet die vertiefte Behandlung elektromagnetischer Felder und Wellen. Dies wird in vielen Teilgebieten der Elektrotechnik benötigt, wie z.B. bei Hoch- und Höchstfrequenztechnik, Mikroelektronik, Mikrosystemtechnik, Nachrichtenübertragung, Antennen, Elektromagnetische Verträglichkeit, usw."
Betriebsmittel hochspannungstechnischer Anlagen,"7,9,11,12,13","Lehrergebnisse: Absolventen dieses Moduls haben ein grundlegendes Verständnis für die Betriebsmittel, die Funktionsweise und den Betrieb von energietechnischen Anlagen und Systemen sowie deren infrastrukturelle und wirtschaftliche Bedeutung erworben.
Lehrinhalte: In der Vorlesung „Betriebsmittel hochspannungstechnischer Anlagen“ werden Grundlagen zu Kabeln, Freileitungen, Transformatoren, Strom- und Spannungswandlern, Schaltanlagen und Schutzgeräten behandelt."
Bahnsysteme und ihre Energieversorgung,"7,9,11,13","Lehrergebnisse: Nach erfolgreicher Teilnahme können die Studierenden selbständig und ganzheitlich Probleme im Bereich der Bahnsystems lösen. Weiterhin können sie Ergebnisse ihrer Arbeit präsentieren. Durch die Inhalte der Vorlesung werden Bereiche der Bahnsysteme und industrielle Anwendungen vertieft.
Lehrinhalte: In der Vorlesung „Bahnsysteme und ihre Energieversorgung werden die Themenschwerpunkte traktionstechnische und energiewirtschaftliche Grundlagen, Systeme und Komponenten der Bahnstromversorgung, Unterwerke für Gleich- und Wechselstrom, Fahrleitung und Stromschienen, Erdungsfragen und EMC, neue Bahnsysteme (Magnetbahn) und Automatisierungs- und Zugsicherungstechnik behandelt."""
Entwicklung verteilter eingebetteter Systeme,"9,4,11,17","Lehrergebnisse: Absolventen dieses Moduls sind in der Lage sich in praxisnahe Themen einzuarbeiten und diese für die Präsentation vor ihren Kommilitonen aufzubereiten. Weiterhin haben Sie Kenntnisse in einer Reihe praxisrelevanter Problemstellungen und Herangehensweisen erlangt.
Lehrinhalte: Dieses Modul wird von Prof. Dr. Matthias Weber (matthias.weber@cariad.technology) durchgeführt.  Die zunehmende Komplexität und Vernetzung moderner eingebetteter Systeme stellt neue Herausforderungen an die Software- und Systementwicklung. Das betrifft sowohl die Entwicklung des Endprodukts selbst als auch die Entwicklungsinfrastruktur zur Entwicklung des Endprodukts. Im Seminar sollen aktuelle Fragestellungen und Herausforderungen aus der Praxis aufgegriffen und von den Studierenden vorgestellt und diskutiert werden. Die Einzelthemen können dabei von sehr praxisnahen Themen über Fragen der modellbasierten Entwicklung bis hin zu mathematisch-theoretischen Themen und formalen Methoden reichen. Das Seminar konzentriert sich auf den Automobilbereich, viele Themen lassen sich jedoch auch auf andere Gebiete industrieller Entwicklung eingebetteter Systeme anwenden. Die Einzelthemen werden in Abhängigkeit des aktuellen Stands der Softwareentwicklung im Automobilbereich definiert, so dass ständig neue Themen aufgegriffen werden."
Hochspannungsprüf- und -messtechnik,"7,9,11,12","Lehrergebnisse: Die Studierenden sind in der Lage, Problemstellungen der Hochspannungstechnik auf dem aktuellen Stand der Forschung eigenständig, nachhaltig und ganzheitlich zu lösen und die Ergebnisse zu präsentieren. Durch das Arbeiten in der IV wird zusätzlich die Fähigkeit zur Teamarbeit gestärkt.
Lehrinhalte: Die integrierte Veranstaltung „Hochspannungsprüf- und -messtechnik vermittelt einen Überblick über fortschrittliche Prüf- und Diagnosetechnik. Wie z.B. Strommessung, EMV, Hochleistungsprüfung, TE-Diagnostik, Vor-Ort-Prüfung und Monitoring. Die Prüf- und Messtechnik im Hochspannungsbereich dient einer nachhaltigen und langlebigen Funktion hochspannungstechnischer Betriebsmittel."""
Elektrische Isolierstoffe,"7,9,12,13","Lehrergebnisse: Nach erfolgreichem Abschluss des Moduls sind die Studierenden in der Lage, Problemstellungen der Hochspannungstechnik auf dem aktuellen Stand der Forschung eigenständig und ganzheitlich zu lösen und die Ergebnisse zu präsentieren. Durch die Inhalte der Vorlesung werden einzelne Bereiche der Hochspannungstechnik und industriellen Anwendungen vertieft.
Lehrinhalte: Die Vorlesung „Elektrische Isolierstoffe beschäftigt sich mit Funktionswerkstoffen, die in der Hochspannungstechnik Anwendung finden. Schwerpunkte sind metallische Werkstoffe, dielektrische Werkstoffe nichtlineare Werkstoffe, magnetische Werkstoffe, Supraleiter und Nanowerkstoffe."""
Schalterverhalten im Netz,"7,9,11,13","Lehrergebnisse: Nach erfolgreichem Abschluss des Moduls sind die Studierenden in der Lage, Problemstellungen der Hochspannungstechnik auf dem aktuellen Stand der Forschung eigenständig und ganzheitlich zu lösen und die Ergebnisse zu präsentieren. Durch die Inhalte der Vorlesung werden einzelne Bereiche der Hochspannungstechnik und industriellen Anwendungen vertieft.
Lehrinhalte: Die Vorlesungen „Schalterverhalten im Netz beschäftigt sich u.a. mit Aufgaben von Leistungsschalter, Netzbedingungen, Kurzschlußstrom, Einschwingvorgängen, verschiedenen Kurzschlussformen, Einschalten auf Kurzschluss und Schalten unter Asynchronbedingungen."""
Grundlagen der Photovoltaik,"7,9,13,4,12","Lehrergebnisse: Absolventen verstehen die Grundlagen der Erzeugung erneuerbare Energien mit Hilfe photovoltaischer Baulelemente am Beispiel von Silizium-Wafersolarzellen. Sie kennen die Herstellungsprozesse für Solarzellen und die erforderlichen Kenngrößen zur Quantifizierung der Performance.
Lehrinhalte: Die Vorlesung PV1 behandelt Solarstrahlung, Absorption und Rekombination, p/n-Übergänge, Solarzellenkennlinien, Zellparameter, Waferherstellung und Prozessierung zu Solarzellen, Modulverschaltung. Die Wahlveranstaltung ermöglicht einen Einblick in die grundlegende Charakterisierung von Solarzellen."
Dünnschichtsolarzellen und neue Konzepte,"7,9,13,4,12","Lehrergebnisse: In dem Modul vertiefen die Studierenden ihre Kenntnisse auf dem Gebiet der Erzeugung erneuerbarer Energie mit Hilfe photovoltaischer Systeme. Sie lernen alternative Solarzellenkonzepte, deren Herstellung und Wirkungsweise kennen. Daneben erlangen Sie die Kenntnisse zur Beurteilung von Wirkungsgraden von photovoltaischen Systemen und lernen Möglichkeit zu deren Optimierung kennen. Nach Abschluss des Moduls haben die Studierenden die grundlegenden Kenntnisse um sich mit modernen photovoltaischen Systemen in Forschung und Praxis zu beschäftigen.
Lehrinhalte: Die Vorlesung PV2 behandelt Grundlagen der photovoltaischen Energiewandlung, moderne Dünnschichtsolarzellen sowie deren Herstellung und Anwendung. Die Wahlpflichtveranstaltungen bieten die Möglichkeit zur Vertiefung der Kenntnisse, z.B. der grundlegenden physikalischen Prozesse, der Analyse photovoltaischer Materialien und Systeme oder der Herstellung von Solarzellen."
Technologie für Dünnschicht-Bauelemente,"9,7,12,13,4","Lehrergebnisse: Die Studierenden kennen die wesentlichen Technologien für die Herstellung von Dünnschicht-Bauelementen und können diese bewerten. Sie kennen die Grundlagen der Beschichtungsprozesse, der Schichtysteme und deren Charakterisiserungsverfahren sowie der Anwendungen von Dünnschichtbauelementen.
Lehrinhalte: Inhalt des Moduls sind technologische und anwendungsbezogene Aspekte für die Dünnschicht-Bauelemente. Behandelt werden: Atmosphärendruck und Vakuumbeschichtungsverfahren, Plasmatechnologie, Eigenschaften dünner Schichten (elektrische, optische und mechanische Eigenschaften) und deren Zusammenhang mit dem Schichtaufbau, Charakterisierungsverfahren und Anwendungen von Dünnschicht-Bauelementen. "
Oberflächentechnologie für Energieeffizienz und Erneuerbare Energien,"7,9,13,12,11","Lehrergebnisse: Die Studierenden kennen die wesentlichen Technologien für energieeffiziente Oberflächen und für deren Einsatz im Bereich Erneuerbarer Energien.
Lehrinhalte: Inhalt des Moduls sind technologische und anwendungsbezogene Aspekte für die Bewertung und für den Einsatz von Oberflächen- und Beschichtungstechnologie im Hinblick auf die Steigerung der Energieeffizienz und auf den Einsatz im Bereich Erneuerbarer Energien."
Mehrgrößenregelsysteme,"7,9,11,12,13,17","Lehrergebnisse: Die Studierenden erwerben Kenntnisse in grundlegenden Methoden der Regelung von Mehrgrößensystemen. Dies beinhaltet die Modellierung und Analyse von Regelstrecken sowie die Synthese von Regelkreisen. Neben der Vermittlung von methodischen Kenntnissen ist das Sammeln von praktischen Erfahrungen beim Lösen von Anwendungsbeispielen und im Umgang mit Softwaretools integraler Bestandteil des Moduls.
Lehrinhalte: Theoretische Grundkenntnisse sowie deren praktische Anwendung auf Regelungs- und Automatisierungsprobleme stehen im Mittelpunkt. Es werden Analyse- und Entwurfsverfahren für Mehrgrößensysteme behandelt."
Nichtlineare Regelsysteme,"7,9,11,13,17","Lehrergebnisse: Die Studierenden verfügen über Kenntnisse in grundlegenden Methoden der Regelung nichtlinearer Systeme. Dies beinhaltet die Modellierung und Analyse von Regelstrecken sowie die Synthese von Regelkreisen. Neben der Vermittlung von methodischen Kenntnissen ist das Sammeln von praktischen Erfahrungen beim Lösen von Anwendungsbeispielen und im Umgang mit Softwaretools, wie Matlab/Simulink, integraler Bestandteil des Moduls. Diese Fähigkeiten werden durch in die Lehrveranstaltungen integrierte Computerübungen erworben. Eine in Betracht gezogene Anwendung ist die Magnetschwebetechnik. Für diese Anwendung werden verschiedene Designansätze verglichen.
Lehrinhalte: Inhalt: Theoretische Grundkenntnisse sowie deren praktische Anwendung auf Regelungs- und Automatisierungsprobleme stehen im Mittelpunkt. Es werden verschiedene Analyse- und Entwurfsverfahren für nichtlineare Systeme behandelt. - Lineare und nichtlineare Phasenebenenanalyse - Beschreibung und Eigenschaften nichtlinearer Systeme - Stabilität und Lyapunov-Methoden (direkt und indirekt) - Gain Scheduling - Linearisierungsbasierter Reglerentwurf - Exakte Linearisierung, Flachheit und Systeminversion - Sliding-Mode-Regelung - Backstepping-Regelung - Nichtlineare Beobachter - Computerübungen mit Matlab/Simulink"
Steuerung und Regelung leistungselektronischer Systeme,"7,9,11,13,17","Lehrergebnisse: Die Studenten erlernen moderne Methoden zur Steuerung und Regelung von leistungselektronischen Systemen. Sie sind nach erfolgreichem Abschluss des Moduls in der Lage, geeignete Steuerungs- und Regelungsverfahren von selbstgeführten Umrichter anzuwenden, diese zu dimensionieren und implementieren sowie deren Funktionsweise zu verifizieren. Insbesondere können Absolvent*innen des Kurses verschiedene Konzepte zum Betrieb von Wechselrichtern für PV- und Windkraftanlagen am Energieversorgungsnetz erklären und kennen Methoden zur Auslegung kritischer Parameter.
Lehrinhalte: Die Veranstaltung umfasst die Vermittlung von Grundlagen sowie die vertiefende Betrachtung moderner Steuer- und Regelungsverfahren unter Einbeziehung unterschiedlicher Modulationsmethoden von selbstgeführten Stromrichtern, die z.B. für die Steuerung von Antriebssystemen und die Einspeisung von erneuerbaren Energien in das Verbundnetz essentiell sind.  Inhalte: Steuerverfahren: PWM für selbstgeführte Schaltungen, Harmonische, spezielle Verfahren für dreiphasige Wechselrichter / Raumzeigermodulation, optimierte Pulsmuster, Hystereseregler Modellbildung und Regelung: Mittelwertmodelle, numerische Grundlagen der Simulation, kaskadierte Reglerstrukturen für Gleichspannungswandler und Wechselrichter, Dimensionierung und zeitdiskrete Umsetzung, Anwendungsbeispiel Wechselricher am Netz, moderne Regelungsverfahren wie Direct Power Control, Modellprädiktive Regelung Die in der Vorlesung behandelten Algorithmen werden in Simulationsübungen erprobt und in weiterführenden praktischen Versuchen demonstriert."
Projekt Simulation und Technische Diagnose,"4,9,11,13,17","Lehrergebnisse: Die Studierenden besitzen nach Abschluss des Moduls auf einem ausgewählten Gebiet der Technische Diagnose oder der Modellbildung/Simulation vertiefte Kenntnisse. Ferner können die Studierenden den Aufwand (Zeit + Kapazität), der zur Bearbeitung abgegrenzter Aufgaben erforderlich ist, abschätzen.
Lehrinhalte: Es werden Projekte aus aktuellen Themen der Simulation mechatronischer Systeme insbesondere aus dem Bereich der Kraftfahrzeugtechnik und der technischen Diagnose bearbeitet. In Form eines Lastenhefts werden die Basisanforderungen, die das zu realisierende „Produkt“ erfüllen muss, aufgeführt. Anschließend muss ein Pflichtenheft erstellt und eine Projektplanung vorgenommen werden. Hierbei ist sowohl eine Zeit- als auch Kapazitätsplanung mit der entsprechenden Verteilung der Aufgaben durchzuführen. Aus der Planung muss die zeitliche Belastung (Workload) der einzelnen Bearbeiter hervorgehen. Nach der Freigabe des Pflichtenhefts durch den Betreuer erfolgt die selbständige Problemlösung und Umsetzung der Aufgabe. Das Projektergebnis wird abschließend dokumentiert und in einem Vortrag präsentiert."
Berufspraktikum I,"4,8,9,17","Lehrergebnisse: Die Studierenden gewinnen durch dieses Pflichtpraktikum Einblicke in mögliche Berufs- und Tätigkeitsfelder und können ihre Studienausrichtung aufgrund einer praktischen Tätigkeit, konkret mit den eigenen Fähigkeiten und Interessen abgleichen. Die praktische Tätigkeit soll in einem Unternehmen außerhalb des Universitären Betriebes ausgeübt werden. Es kommen u.a. Praktika in folgenden Bereichen in Frage: Softwareentwicklung, Medienerstellung und -produktion, Rundfunk und Fernsehen, Webdesign und -entwicklung, Kommunikationstechnik, Hardware-Entwicklung, Werbung/PR und Kommunikationsforschung.
Lehrinhalte: Organisationsfähigkeit, erlernen ergebnisorientiert und im Team zu arbeiten, Bearbeitung zielgerichteter und konkreter Problemstellungen, Kommunikations- und Kooperationsfähigkeit im professionellen Umfeld."
Ausgewählte Themen zu Elektronik und Signalverarbeitung,"4,9,17","Lehrergebnisse: Die Studierenden haben bereits in den anderen Modulen des Fachgebiets Elektronik und medizinische Signalverarbeitung erworbenes Wissen vertieft und abgerundet. Sie sind in der Lage sich selbstständig in komplexe neue Sachverhalte aus den Bereichen Signalverarbeitung einzuarbeiten und/oder anspruchvolle elektronische Schaltungen zu entwickeln bzw. analysieren. Die Themen werden nach den individuellen Bedürfnissen der Studierenden ausgewählt. Sie sind in der Lage, einen eigenen fachlichen Beitrag zu leisten, im Team zu arbeiten und Arbeitsergebnisse adäquat zu dokumentieren bzw. zu präsentieren. 
Lehrinhalte: Im Seminar „Ausgewählte Themen zu Elektronik und Signalverarbeitung“ besteht die Möglichkeit Themen eigener Wahl aufzuarbeiten und zu präsentieren. In diesem Rahmen können auch kleinere praktische Aufgaben bearbeitet werden."
Seminar Aktuelle Forschung an Batterien,"7,9,11,13","Lehrergebnisse: Die Studierenden sind nach Absolvieren des Moduls in der Lage, zu einem gegebenen Thema rund um aktuelle Forschung an Batterien Literaturrecherchen zum Stand der Technik und zu aktuellen Forschungsgegenständen durchzuführen, zusammenzustellen und zu bewerten. Weiterhin sind sie in der Lage, Vortragsfolien zielgruppenangepasst und strukturiert zu erstellen und einem größeren Publikum in deutscher oder englischer Sprache vorzustellen. Ein weiteres Lernziel ist das Erstellen von wissenschaftlichen Texten zu dem gewählten Forschungsthema, ebenfalls in deutscher oder englischer Sprache.
Lehrinhalte: Inhalt des Seminar ist es, sich eine aktuelle Fragestellung zur Batterieforschung auszusuchen und die vorhandene Literatur dazu zusammenzufassen und zu präsentieren. Jede/r Teilnehmer/in erhält ein anderes Thema. Beispiele für Themen sind: - Alterungsprozesse von verschiedenen Batterietypen, z.B. Lithium-Plating oder SEI-Wachstum - Funktionsprinzip von neuen Batterietechnologien, z.B. Lithium-Luft oder Lithium-Schwefel-Batterien - Trends in der Materialforschung, z.B. Elektrolyte für Hochvolt-Batterien. Es werden auch informatiknahe Themen aus den Bereichen Machine Learning, Big Data und deren Anwendung auf Batteriesysteme sowie wirtschaftliche Themen rund um Batterien angeboten. Ein weiterer Schwerpunkt ist die Nachhaltigkeit von Batterietechnologien sowie Anwendungen von Batterien in der Elektromobilität."
"Leistungselektronik - Schaltungstechnik, Entwurf und Anwendungen","7,9,11,13","Lehrergebnisse: Studierende, die dieses Modul wählen, sind nach erfolgreichem Abschluss in der Lage, leistungselektronische Aufgaben in der Industrie zu lösen, dabei eigene Lösungskonzepte zu finden und im Hinblick auf Umweltverträglichkeit und Wirtschaftlichkeit zu bewerten. Es werden vertiefende Kenntnisse der Leistungselektronik, insbesondere der anwendungsspezifischen Schaltungstechnik sowie Simulations- und Dimensionierungsmethoden vermittelt, die für die Entwicklung in unterschiedlichen Industriezweigen, wie z.B. Automatisierungstechnik, Antriebstechnik, Stromversorgung, Verkehrstechnik, Medizintechnik, Energietechnik und erneuerbare Energien essentiell sind.
Lehrinhalte: In der Veranstaltung werden vertiefende Kenntnisse zur Auslegung (Dimensionierung, Filter, Kühlung, Zuverlässigkeit) und zur Schaltungstechnik (z.B. Resonanzwandler, Schaltnetzteile, mehrstufige Schaltungen) vermittelt. Des Weiteren werden neue Entwicklungen der Leistungselektronik (moderne Leistungshalbleiter, neue Schaltungen und deren Anwendungsgebiete z.B. für Mittelspannungsantriebe) vorgestellt. Inhalte: 1. Stromrichterentwurf - Dimensionierung der Leistungshalbleiter Anwendungsbeispiel Elektromobilität: Antriebsumrichter - Verlustleistungsbestimmung in leistungselektronischen Schaltungen - Aufbau von Leistungshalbleitern und Kühlungsmethoden - Lebensdauer von Leistungshalbleitern 2. DC/DC -Wandler Anwendungsbeispiel Elektromobilität: Batterieladegerät und Bordnetz - ein- und mehrstufige DC/DC-Wandler mit Potentialtrennung - Einsatz neuartiger Halbleiter - Magnetische Komponenten 3. Industristromrichter - Filter, Schaltungstechnik - Harmonische, Filterauslegung, Grundbegriffe der EMV - Anwendung Mittelspannungsantriebe: spezifische Umrichterschaltungen, Hochleistungsbauelemente, Multi-Level-Stromrichter   Wahlpflicht: Im gleichnamigen Praktikum sowie der Übung werden die Vorlesungsinhalte mittels selbstständig zu bearbeitenden Simulations- und Rechenübungen vertieft. Die VL „Halbleiter-Leistungsbauelemente beinhaltet Aufbau, Funktionsweise, statische/dynamische Eigenschaften, Kenn-/Grenzwerte sowie Charakterisierung und Anwendung von HL-Leistungsbauelementen: Dioden, Thyristoren, Bipolartransistoren, MOSFETs, IGBTs, GTOs, u.a."""
Leistungselektronik für Erneuerbare Energien,"7,9,13,11,12","Lehrergebnisse: Die Studierenden erlernen spezifische Kenntnisse zum Einsatz von leistungselektronischen Systemkomponenten für die erneuerbaren Energieerzeugung und Energieübertragung. Sie sind nach erfolgreichem Abschluss des Moduls in der Lage, leistungselektronische Problemstellungen beim Betrieb erneuerbarer Energieerzeugungsanlagen und deren Netzintegration zu erkennen, zu analysieren und eigenständige, innovative Lösungsansätze zu erarbeiten sowie diese zu bewerten.  
Lehrinhalte: Es werden leistungselektronische Lösungen für den Betrieb und die Netzintegration von Wind- und Photovoltaikanlagen und Energiespeichern vorgestellt. Der Fokus der Vorlesung liegt auf den unterschiedlichen Eigenschaften der einspeisenden erneuerbaren Energiequellen und den damit verbundenen Anforderungen an die leistungselektronischen Systemkomponenten und deren Regelung. Weiterhin werden innovative Lösungen für die Energieübertragung (selbstgeführte HGÜ) behandelt. Das Seminar umfasst die selbstständige Analyse und Bewertung neuer Lösungskonzepte im Bereich der erneuerbaren Energien mit dem Fokus auf die leistungselektronischen Komponenten in der Energieerzeugung und -übertragung. Themen: - Windkraftanlagen: Grundlagen und Anlagenkonzepte, doppeltgespeiste Asynchrongeneratoren und Synchrongeneratoren mit Back-to-Back Umrichtern, Anbindung von Windparks - Photovoltaikanlagen: Anlagenkonzepte und Umrichter für verschiedene Leistungsbereiche, drei- und einphasige Wechselrichterschaltungen, neue Leistungshalbleiter für effiziente Wechselrichter, Systeme mit Energiespeicher - Netzanforderungen, Regelungskonzepte zur Netzintegration, Behandlung von Fehlerfällen, Unterschiede bei der Integration in verschiedene Netze (Verbundnetz, Inselnetze) - Power Quality - HGÜ Konzepte "
